timestamp,load_fraction
2026-03-02T00:00:00,0.85
2026-03-02T01:00:00,0.85
2026-03-02T02:00:00,0.85
2026-03-02T03:00:00,0.85
2026-03-02T04:00:00,0.85
2026-03-02T05:00:00,0.85
2026-03-02T06:00:00,0.65
2026-03-02T07:00:00,0.65
2026-03-02T08:00:00,0.65
2026-03-02T09:00:00,0.65
2026-03-02T10:00:00,0.3
2026-03-02T11:00:00,0.3
2026-03-02T12:00:00,0.3
2026-03-02T13:00:00,0.3
2026-03-02T14:00:00,0.3
2026-03-02T15:00:00,0.3
2026-03-02T16:00:00,0.78
2026-03-02T17:00:00,0.78
2026-03-02T18:00:00,0.78
2026-03-02T19:00:00,0.78
2026-03-02T20:00:00,0.78
2026-03-02T21:00:00,0.78
2026-03-02T22:00:00,0.85
2026-03-02T23:00:00,0.85
