timestamp,power_kw
2026-03-02T00:00:00,0.0
2026-03-02T01:00:00,0.0
2026-03-02T02:00:00,0.0
2026-03-02T03:00:00,0.0
2026-03-02T04:00:00,0.0
2026-03-02T05:00:00,0.0
2026-03-02T06:00:00,0.964
2026-03-02T07:00:00,1.665
2026-03-02T08:00:00,2.647
2026-03-02T09:00:00,3.877
2026-03-02T10:00:00,5.228
2026-03-02T11:00:00,6.493
2026-03-02T12:00:00,7.426
2026-03-02T13:00:00,7.821
2026-03-02T14:00:00,7.585
2026-03-02T15:00:00,6.773
2026-03-02T16:00:00,5.57
2026-03-02T17:00:00,4.218
2026-03-02T18:00:00,2.941
2026-03-02T19:00:00,1.888
2026-03-02T20:00:00,1.117
2026-03-02T21:00:00,0.0
2026-03-02T22:00:00,0.0
2026-03-02T23:00:00,0.0
2026-03-03T00:00:00,0.0
2026-03-03T01:00:00,0.0
2026-03-03T02:00:00,0.0
2026-03-03T03:00:00,0.0
2026-03-03T04:00:00,0.0
2026-03-03T05:00:00,0.0
2026-03-03T06:00:00,0.925
2026-03-03T07:00:00,1.508
2026-03-03T08:00:00,2.264
2026-03-03T09:00:00,3.131
2026-03-03T10:00:00,3.992
2026-03-03T11:00:00,4.69
2026-03-03T12:00:00,5.079
2026-03-03T13:00:00,5.071
2026-03-03T14:00:00,4.671
2026-03-03T15:00:00,3.968
2026-03-03T16:00:00,3.112
2026-03-03T17:00:00,2.253
2026-03-03T18:00:00,1.507
2026-03-03T19:00:00,0.932
2026-03-03T20:00:00,0.533
2026-03-03T21:00:00,0.0
2026-03-03T22:00:00,0.0
2026-03-03T23:00:00,0.0
2026-03-04T00:00:00,0.0
2026-03-04T01:00:00,0.0
2026-03-04T02:00:00,0.0
2026-03-04T03:00:00,0.0
2026-03-04T04:00:00,0.0
2026-03-04T05:00:00,0.0
2026-03-04T06:00:00,0.457
2026-03-04T07:00:00,0.782
2026-03-04T08:00:00,1.24
2026-03-04T09:00:00,1.824
2026-03-04T10:00:00,2.489
2026-03-04T11:00:00,3.145
2026-03-04T12:00:00,3.681
2026-03-04T13:00:00,3.986
2026-03-04T14:00:00,3.991
2026-03-04T15:00:00,3.693
2026-03-04T16:00:00,3.156
2026-03-04T17:00:00,2.49
2026-03-04T18:00:00,1.813
2026-03-04T19:00:00,1.218
2026-03-04T20:00:00,0.755
2026-03-04T21:00:00,0.0
2026-03-04T22:00:00,0.0
2026-03-04T23:00:00,0.0
2026-03-05T00:00:00,0.0
2026-03-05T01:00:00,0.0
2026-03-05T02:00:00,0.0
2026-03-05T03:00:00,0.0
2026-03-05T04:00:00,0.0
2026-03-05T05:00:00,0.0
2026-03-05T06:00:00,1.033
2026-03-05T07:00:00,1.772
2026-03-05T08:00:00,2.798
2026-03-05T09:00:00,4.069
2026-03-05T10:00:00,5.45
2026-03-05T11:00:00,6.721
2026-03-05T12:00:00,7.632
2026-03-05T13:00:00,7.981
2026-03-05T14:00:00,7.685
2026-03-05T15:00:00,6.814
2026-03-05T16:00:00,5.564
2026-03-05T17:00:00,4.183
2026-03-05T18:00:00,2.896
2026-03-05T19:00:00,1.846
2026-03-05T20:00:00,1.084
2026-03-05T21:00:00,0.0
2026-03-05T22:00:00,0.0
2026-03-05T23:00:00,0.0
2026-03-06T00:00:00,0.0
2026-03-06T01:00:00,0.0
2026-03-06T02:00:00,0.0
2026-03-06T03:00:00,0.0
2026-03-06T04:00:00,0.0
2026-03-06T05:00:00,0.0
2026-03-06T06:00:00,0.84
2026-03-06T07:00:00,1.362
2026-03-06T08:00:00,2.034
2026-03-06T09:00:00,2.8
2026-03-06T10:00:00,3.555
2026-03-06T11:00:00,4.163
2026-03-06T12:00:00,4.496
2026-03-06T13:00:00,4.483
2026-03-06T14:00:00,4.126
2026-03-06T15:00:00,3.508
